Activity Type,Date,Time_Of_Day,Country,State,Environment,Title,Distance (Km),Calories,Duration,Avg HR
Breathwork,2/10/2024,8:08:16 AM,USA,Texas,Outdoor,Tranquility,0,NaN,0:11:03,78
Running,2/8/2024,4:17:56 PM,USA,Texas,Outdoor,Denton County - Drill Workout,3.22,312,0:29:05,125
Running,2/6/2024,11:18:00 AM,USA,Texas,Outdoor,Denton County - Drill Workout,2.91,280,0:27:18,119
Breathwork,2/5/2024,8:57:58 PM,USA,Texas,Outdoor,Tranquility,--,NaN,0:11:03,68
Walking,2/4/2024,11:02:07 AM,USA,Texas,Outdoor,Denton County Walking,1.69,150,0:21:30,108
Running,2/4/2024,10:03:48 AM,USA,Texas,Outdoor,Denton County - Run,3.55,364,0:30:15,142
Walking,2/4/2024,9:33:04 AM,USA,Texas,Outdoor,Denton County Walking,2.91,262,0:30:21,114
Running,2/1/2024,6:02:51 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.8,286,0:25:04,133
Walking,2/1/2024,12:12:52 PM,USA,Texas,Outdoor,Denton County Walking,5.32,486,0:55:52,112
Walking,1/31/2024,10:33:00 AM,USA,Texas,Outdoor,Denton County Walking,3.78,334,0:46:20,93
Running,1/30/2024,11:26:49 AM,USA,Texas,Outdoor,Denton County - Drill Workout,2.84,272,0:25:10,114
Running,1/28/2024,5:18:09 PM,USA,Texas,Outdoor,Denton County - Run Walk Run®,3.89,391,0:34:57,131
Running,1/25/2024,9:13:52 AM,USA,Texas,Outdoor,Denton County - Drill Workout,2.8,271,0:25:24,122
Running,1/23/2024,2:03:07 PM,USA,Texas,Outdoor,Denton County - Drill Workout,3.01,314,0:25:12,140
Running,1/21/2024,2:16:34 PM,USA,Texas,Outdoor,Denton County - Run,3.02,306,0:25:14,134
Cycling,1/21/2024,8:56:44 AM,New_Zealand,Hurunui,Virtual,ROUVY - Culverden | Hurunui | New Zealand,16.33,357,0:42:21,150
Running,1/18/2024,9:19:44 AM,USA,Texas,Outdoor,Denton County - Drill Workout,2.55,261,0:22:06,132
Running,1/16/2024,4:41:13 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.5,265,0:20:58,143
Trail,1/14/2024,3:57:43 PM,USA,Texas,Outdoor,Denton County - Run Walk Run®,3.77,365,0:35:36,143
Treadmill,1/14/2024,3:37:26 PM,USA,Texas,Indoor,Treadmill Running,1.61,112,0:18:18,105
Running,1/11/2024,10:18:07 AM,USA,Texas,Outdoor,Denton County - Benchmark Run,1.17,121,0:09:00,143
Cycling,1/8/2024,8:05:42 AM,Vietnam,Ha_Long_Bay,Virtual,ROUVY - Vietnam - the awesome Ha Long Bay,18.24,316,0:40:14,--
Pool Swim,1/2/2024,11:15:18 AM,USA,Texas,Indoor,Pool Swimming,50,16,01:09.3,83
Walking,12/29/2023,10:51:15 AM,Brazil,Sao_Paulo,Outdoor,Ubatuba Walking,0.62,72,0:12:28,101
Walking,12/29/2023,10:40:43 AM,Brazil,Sao_Paulo,Outdoor,Ubatuba Walking,0.5,58,0:10:16,96
Walking,12/27/2023,11:48:33 AM,Brazil,Sao_Paulo,Outdoor,Ubatuba Walking,2.65,249,0:39:17,108
Running,12/11/2023,12:20:00 PM,USA,Texas,Outdoor,Denton County - Run Walk Run®,2.84,282,0:25:46,130
Running,12/7/2023,3:57:25 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.29,218,0:22:03,123
Cycling,12/5/2023,3:50:37 PM,Netherlands,La_Vuelta,Virtual,ROUVY - La Vuelta 2022 | Stage 2 - Elst | NL,10.91,204,0:24:42,149
Running,12/3/2023,12:12:15 PM,USA,Texas,Outdoor,Denton County - Run Walk Run®,2.92,287,0:25:53,129
Running,12/1/2023,1:31:21 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.15,210,0:20:15,133
Walking,11/27/2023,11:17:13 AM,USA,Texas,Outdoor,Denton County Walking,1.76,162,0:18:52,115
Running,11/27/2023,11:07:26 AM,USA,Texas,Outdoor,Denton County - Benchmark Run,1.22,117,0:09:00,150
Breathwork,11/23/2023,7:39:20 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,100
Walking,10/31/2023,6:05:50 PM,USA,Texas,Outdoor,Denton County Walking,1.54,243,0:43:35,108
Cycling,10/31/2023,12:21:47 PM,South_Korea,Gunsan,Virtual,ROUVY - Challenge Gunsan-Saemangeum 2022 | Korea 30km,30,514,1:05:23,160
Cycling,10/30/2023,12:48:50 PM,Italy,Sella_Ronda,Virtual,ROUVY - Passo Pordoi to Corvara | Sella Ronda | Italy,11.64,554,1:05:43,162
Cycling,10/21/2023,7:36:09 AM,USA,Texas,Outdoor,Frisco Cycling,71.11,"2,164",3:34:08,138
Walking,10/20/2023,7:49:08 AM,USA,Texas,Outdoor,Denton County Walking,2.83,254,0:30:21,104
Cycling,10/17/2023,12:53:39 PM,New_Zealand,Lake_Ohau,Virtual,ROUVY - Lake Ohau | New Zealand,0.44,9,0:08:25,123
Cycling,10/17/2023,11:40:32 AM,Vietnam,Ha_Long_Bay,Virtual,ROUVY - Vietnam - the awesome Ha Long Bay,30.35,530,1:12:46,159
Cardio,10/14/2023,4:25:48 PM,USA,Texas,Indoor,Cardio,0,210,1:16:02,82
Cardio,10/13/2023,9:13:46 PM,USA,Texas,Indoor,Cardio,0,124,0:44:14,82
Cycling,10/13/2023,3:21:58 PM,Brazil,Rio_De_Janeiro,Virtual,ROUVY - L´Etape Rio de Janeiro | Sprint Route | Brazil,34.63,579,1:15:51,156
Walking,10/13/2023,7:50:18 AM,USA,Texas,Outdoor,Denton County Walking,3.5,312,0:38:45,110
Breathwork,10/13/2023,7:23:15 AM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,88
Walking,10/2/2023,8:42:11 AM,USA,Texas,Outdoor,Denton County Walking,5.18,455,1:02:25,102
Cardio,10/1/2023,10:23:59 AM,USA,Texas,Indoor,Cardio,0,973,2:24:05,125
Cycling,9/28/2023,10:32:11 AM,USA,Texas,Outdoor,Denton County Cycling,28.59,902,1:04:53,158
Walking,9/26/2023,7:58:05 AM,USA,Texas,Outdoor,Denton County Walking,4.3,375,0:52:09,98
Cycling,9/25/2023,1:05:58 PM,Italy,Lago_Di_Garda,Virtual,ROUVY - Lago di Garda | Italy,27.09,438,1:01:36,146
Cardio,9/24/2023,11:10:24 AM,USA,Texas,Indoor,Cardio,0,659,1:39:45,119
Cycling,9/23/2023,10:42:37 AM,USA,Colorado,Virtual,ROUVY - Colorado River | UTAH | USA,30.8,506,1:02:35,154
Running,9/22/2023,11:29:17 AM,USA,Texas,Outdoor,Denton County Running,3.83,369,0:34:02,139
Cardio,9/21/2023,5:08:13 PM,USA,Texas,Indoor,Cardio,0,302,0:43:52,115
Cycling,9/18/2023,11:25:49 AM,Spain,Valencia,Virtual,ROUVY - La Vuelta | Valencia,29.7,488,1:04:54,154
Walking,9/15/2023,7:56:00 AM,USA,Texas,Outdoor,Denton County Walking,3.58,324,0:41:02,104
Cardio,9/14/2023,8:11:22 PM,USA,Texas,Indoor,Cardio,0,100,0:50:09,71
Breathwork,9/13/2023,6:50:58 AM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,72
Cardio,9/12/2023,8:09:42 PM,USA,Texas,Indoor,Cardio,0,541,5:08:05,64
Breathwork,9/12/2023,6:50:07 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,68
Walking,9/11/2023,8:15:06 AM,USA,Texas,Outdoor,Denton County Walking,5.21,468,0:58:06,102
Cardio,9/10/2023,8:51:04 AM,USA,Texas,Indoor,Cardio,0,761,3:02:09,96
Walking,9/8/2023,11:06:21 AM,USA,Texas,Outdoor,Denton County Walking,3.31,287,0:41:09,104
Walking,9/8/2023,11:04:11 AM,USA,Texas,Outdoor,Denton County Walking,0,1,00:11.3,85
Cardio,9/7/2023,4:10:00 PM,USA,Texas,Indoor,Cardio,0,417,0:35:44,146
Cycling,9/7/2023,8:15:39 AM,USA,Colorado,Virtual,ROUVY - Colorado River | UTAH | USA,22.05,343,0:46:03,--
Breathwork,9/6/2023,8:03:07 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,89
Walking,9/6/2023,11:55:08 AM,USA,Texas,Outdoor,Irving Walking,1.7,148,0:20:41,108
Breathwork,9/6/2023,7:32:21 AM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,72
Running,9/5/2023,10:31:51 AM,USA,Texas,Outdoor,Denton County Running,5.11,481,0:47:40,135
Walking,9/4/2023,12:58:10 PM,USA,Texas,Outdoor,Dallas Walking,0.74,121,0:21:58,102
Walking,9/4/2023,12:05:50 PM,USA,Texas,Outdoor,Dallas Walking,0.68,78,0:23:26,81
Walking,9/4/2023,10:27:54 AM,USA,Texas,Outdoor,Dallas Walking,2.83,374,1:37:36,86
Running,9/1/2023,10:06:13 AM,USA,Texas,Outdoor,Denton County Running,5.82,553,0:57:49,133
Walking,8/31/2023,10:24:40 AM,USA,Texas,Outdoor,Denton County Walking,4.46,398,0:49:56,110
Paddleboarding,8/26/2023,1:40:18 PM,USA,Texas,Outdoor,Denton County Stand Up Paddleboarding,0.5,244,0:35:48,119
Cardio,8/24/2023,6:40:20 PM,USA,Texas,Indoor,Cardio,0,277,0:25:46,139
Cardio,8/24/2023,6:18:19 PM,USA,Texas,Indoor,Cardio,0,180,0:21:40,121
Cycling,8/12/2023,6:52:59 AM,USA,Texas,Outdoor,Denton County Cycling,71.12,"1,373",3:03:47,156
Cycling,8/6/2023,7:21:50 AM,USA,Texas,Outdoor,Denton County Cycling,68.04,"2,130",2:45:34,152
Treadmill,7/19/2023,7:58:15 AM,USA,Texas,Indoor,Treadmill Running,3.32,281,0:34:39,124
Strength,7/18/2023,8:11:44 AM,USA,Texas,Indoor,Strength,0,138,0:25:17,108
Treadmill,7/18/2023,7:41:24 AM,USA,Texas,Indoor,Treadmill Running,2.67,221,0:29:21,118
Strength,7/14/2023,8:32:19 AM,USA,Texas,Indoor,Strength,0,47,0:13:21,93
Strength,7/14/2023,8:31:20 AM,USA,Texas,Indoor,Strength,0,3,00:43.3,93
Cycling,7/13/2023,11:29:49 AM,USA,Colorado,Virtual,ROUVY - Colorado River | UTAH | USA,22.45,345,0:47:20,140
Running,7/9/2023,8:42:05 AM,USA,Texas,Outdoor,Denton County Running,5.63,513,0:52:07,124
Strength,7/5/2023,12:23:35 PM,USA,Texas,Indoor,Strength,0,97,0:15:20,115
Treadmill,7/5/2023,11:43:12 AM,USA,Texas,Indoor,Treadmill Running,3.64,330,0:36:22,130
Walking,7/4/2023,9:27:26 AM,USA,Texas,Outdoor,Denton County Walking,0.97,63,0:35:05,--
Cardio,7/1/2023,8:42:55 AM,USA,Texas,Indoor,Cardio,0,675,2:25:39,102
Breathwork,6/30/2023,9:02:22 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,82
Cycling,6/30/2023,8:06:10 AM,USA,Texas,Outdoor,Denton County Cycling,57.19,"1,980",2:16:22,162
Strength,6/29/2023,12:44:20 PM,USA,Texas,Indoor,Strength,0,169,0:36:23,102
Treadmill,6/29/2023,12:05:15 PM,USA,Texas,Indoor,Treadmill Running,2.17,228,0:26:21,128
Cycling,6/23/2023,11:57:37 AM,USA,Texas,Outdoor,Denton County Cycling,30.39,981,1:08:32,156
Strength,6/22/2023,4:05:42 PM,USA,Texas,Indoor,Strength,0,125,0:23:08,109
Treadmill,6/22/2023,3:47:29 PM,USA,Texas,Indoor,Treadmill Running,1.62,150,0:15:42,128
Treadmill,6/20/2023,11:17:08 AM,USA,Texas,Indoor,Treadmill Running,5.21,433,0:55:47,125
Strength,6/20/2023,11:00:15 AM,USA,Texas,Indoor,Strength,0,55,0:15:11,92
Paddleboarding,6/18/2023,1:15:09 PM,USA,Texas,Outdoor,Denton County Stand Up Paddleboarding,0.55,54,09:01.5,109
Cycling,6/17/2023,11:34:22 AM,Vietnam,Ha_Long_Bay,Virtual,Vietnam - the awesome Ha Long Bay,28.15,503,1:01:19,144
Treadmill,6/14/2023,12:01:33 PM,USA,Texas,Indoor,Treadmill Running,0.03,5,00:36.8,120
Treadmill,6/14/2023,11:26:06 AM,USA,Texas,Indoor,Treadmill Running,3.22,286,0:34:29,124
Cardio,6/14/2023,11:12:45 AM,USA,Texas,Indoor,Cardio,0,54,0:12:09,95
Cycling,6/13/2023,3:57:04 PM,Australia,Sydney,Virtual,The Best of Sydney,18.05,403,0:46:51,154
Treadmill,6/12/2023,11:49:29 AM,USA,Texas,Indoor,Treadmill Running,2.7,187,0:27:21,114
Breathwork,6/10/2023,7:18:23 AM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,76
Breathwork,6/9/2023,8:37:58 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,83
Running,6/9/2023,7:46:39 AM,USA,Texas,Outdoor,Denton County Running,5.58,529,0:55:37,126
Cardio,6/8/2023,11:16:13 AM,USA,Texas,Indoor,Cardio,0,259,0:41:15,114
Treadmill,6/8/2023,10:59:31 AM,USA,Texas,Indoor,"Intense Run BE A BLAZE"" with MO""",1.3,111,0:13:11,124
Cardio,6/3/2023,2:53:04 PM,USA,Texas,Indoor,Cardio,0,182,0:33:46,104
Cycling,5/29/2023,7:47:20 AM,USA,Texas,Outdoor,Denton County Cycling,48.58,"1,319",1:45:39,157
Running,5/25/2023,2:09:36 PM,USA,Texas,Outdoor,Denton County Running,2.39,224,0:25:46,115
Walking,5/18/2023,11:45:22 AM,USA,Texas,Outdoor,Denton County Walking,4.4,400,0:50:35,112
Cycling,5/17/2023,12:10:28 PM,USA,Texas,Outdoor,Denton County Cycling,43.94,"1,286",1:36:27,158
Walking,5/17/2023,7:43:08 AM,USA,Texas,Outdoor,Denton County Walking,3.57,343,0:47:15,109
Walking,5/16/2023,1:58:10 PM,USA,Texas,Outdoor,Denton County Walking,3.17,286,0:34:25,100
Cardio,5/9/2023,11:54:52 AM,USA,Texas,Indoor,Cardio,0,305,0:44:41,119
Cycling,5/7/2023,7:07:15 AM,USA,Texas,Outdoor,Denton Cycling,96.64,"2,388",3:56:07,153
Cycling,5/7/2023,7:06:30 AM,USA,Texas,Outdoor,Denton Cycling,96.5,"3,064",3:56:10,153
Cycling,5/6/2023,2:00:42 PM,USA,Texas,Outdoor,Denton County Cycling,9.23,364,0:22:54,164
Cycling,5/6/2023,1:52:52 PM,USA,Texas,Indoor,Krum Cycling,11.47,417,0:28:28,162
Cycling,5/6/2023,10:29:09 AM,USA,Texas,Outdoor,Denton County Cycling,48.84,"1,750",1:50:17,167
Cycling,5/6/2023,6:59:28 AM,USA,Texas,Outdoor,Frisco Cycling,123.49,"3,072",5:32:00,146
Cycling,5/3/2023,11:58:09 AM,Brazil,Belo_Horizonte,Virtual,Lagoa da Pampulha | Belo Horizonte | Brazil,18.16,325,0:37:46,143
Cycling,5/2/2023,11:45:01 AM,Brazil,Santa_Catarina,Virtual,Ponte Hercílio Luz | Florianópolis | Brazil,16.98,335,0:36:30,148
Walking,5/1/2023,4:00:47 PM,USA,Texas,Outdoor,Denton County Walking,3.53,316,0:41:23,85
Cycling,5/1/2023,7:37:47 AM,Brazil,Sao_Paulo,Virtual,L'Etape Brasil | Short Route 22km,22.8,499,0:52:44,151
